Position,MAN City (Team 1),Inter Milan (Team 2),Team 1 (matches_played),Team 2 (matches_played),Team 1 (Mins Played),Team 2 (Mins Played,Team 1 (Goals),Team 2 (Goals),Team 1 (Assists),Team 2 (Assists),Team 1 (No. of attempts),Team 2 (No. of attempts),Team 1 (Attempts_onTarget),Team 2 (Attempts_onTarget),Team 1 (Tackles),Team 2 (Tackles),Team 1 (Tackles_won),Team 2 (Tackles_won),Team 1 (Balls Recovered),Team 2 (Balls Recovered),Team 1 (Number_of_saves),Team 2 (Number_of_saves),Team 1 (clean_sheets),Team 2 (clean_sheets),Team 1 (Top_speed (km/hr)),Team 2 (Top_speed (km/hr),Team 1 (passing accuracy),Team 2 (passing accuracy),Result
2,Nathan Ake,Denzel Dumfries,7,11,518,810,0,1,0,0,4,10,1,5,6,10,2,5,33,19,0,0,0,0,31.5,34.71,95.43,68.64,0
2,Nathan Ake,Stefan de Vrij,7,7,518,298,0,0,0,0,4,0,1,0,6,6,2,3,33,11,0,0,0,0,31.5,31,95.43,76.72,0
2,Nathan Ake,Raoul Bellanova,7,2,518,104,0,0,0,0,4,0,1,0,6,2,2,1,33,5,0,0,0,0,31.5,35.5,95.43,72.5,0
2,Nathan Ake,Francesco Acerbi,7,11,518,829,0,0,0,0,4,9,1,2,6,12,2,9,33,54,0,0,0,0,31.5,31.4,95.43,81,0
2,Nathan Ake,Federico Dimarco,7,10,518,646,0,0,0,5,4,11,1,2,6,5,2,1,33,28,0,0,0,0,31.5,33.4,95.43,74.91,0
2,Nathan Ake,Danilo D'Ambrosio,7,5,518,150,0,0,0,0,4,2,1,1,6,3,2,2,33,12,0,0,0,0,31.5,30.6,95.43,70.8,0
2,Nathan Ake,Matteo Darmian,7,10,518,736,0,0,0,0,4,1,1,0,6,16,2,10,33,40,0,0,0,0,31.5,32.9,95.43,81.8,0
2,Nathan Ake,Milan Skriniar,7,8,518,536,0,0,0,0,4,1,1,0,6,8,2,3,33,22,0,0,0,0,31.5,31.2,95.43,87.38,1
2,Nathan Ake,Alessandro Bastoni,7,11,518,913,0,0,0,3,4,4,1,1,6,19,2,9,33,44,0,0,0,0,31.5,33.9,95.43,86.1,1
2,Aymeric Laporte,Denzel Dumfries,4,11,292,810,0,1,1,0,0,10,0,5,2,10,0,5,13,19,0,0,0,0,32.5,34.71,92,68.64,0
2,Aymeric Laporte,Stefan de Vrij,4,7,292,298,0,0,1,0,0,0,0,0,2,6,0,3,13,11,0,0,0,0,32.5,31,92,76.72,0
2,Aymeric Laporte,Raoul Bellanova,4,2,292,104,0,0,1,0,0,0,0,0,2,2,0,1,13,5,0,0,0,0,32.5,35.5,92,72.5,0
2,Aymeric Laporte,Francesco Acerbi,4,11,292,829,0,0,1,0,0,9,0,2,2,12,0,9,13,54,0,0,0,0,32.5,31.4,92,81,0
2,Aymeric Laporte,Federico Dimarco,4,10,292,646,0,0,1,5,0,11,0,2,2,5,0,1,13,28,0,0,0,0,32.5,33.4,92,74.91,0
